hfpxzc href,qBF1Pd,e4rVHe,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,W4Efsd 7,UsdlK,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd 2,R8c4Qb 2,MW4etd,UY7F9,ah5Ghc,
https://www.google.com.br/maps/place/Thesis+Pharmacy/data=!4m7!3m6!1s0x864c228329967d8f:0xf210e862e10adfa5!8m2!3d33.0416497!4d-96.751796!16s%2Fg%2F1q2vyvbrj!19sChIJj32WKYMiTIYRpd8K4WLoEPI?authuser=0&hl=pt-BR&rclk=1,Thesis Pharmacy,,Farmácia,·,,3033 W Parker Rd Suite 100,·,Fechado,· Abre seg. às 09:00,,#ERROR!,https://www.thesispharmacy.com/,,Website,,Rotas,"4,6",-1.593,Compras na loja,
https://www.google.com.br/maps/place/Live+Oak+Pharmacy/data=!4m7!3m6!1s0x864c19875f577881:0xef52bfaec6b4cdd5!8m2!3d33.0597278!4d-96.7318944!16s%2Fg%2F11gzp4j_hw!19sChIJgXhXX4cZTIYR1c20xq6_Uu8?authuser=0&hl=pt-BR&rclk=1,Live Oak Pharmacy,,Farmácia,·,,·,2011 Spring Creek Pkwy suite 1500,Fechado,· Abre seg. às 09:00,·,#ERROR!,https://www.liveoakpharmacy.info/,,Website,,Rotas,"4,6",-152,Entrega,
https://www.google.com.br/maps/place/Lone+Star+Pharmaceuticals/data=!4m7!3m6!1s0x864dccf6ab20b6cd:0x283aca7d088fea21!8m2!3d33.1159738!4d-97.1294916!16s%2Fg%2F11g8vcwgsx!19sChIJzbYgq_bMTYYRIeqPCH3KOig?authuser=0&hl=pt-BR&rclk=1,Lone Star Pharmaceuticals,,Empresa farmacêutica,·,,·,11951 Hilltop Rd,Fechado,· Abre seg. às 09:00,·,#ERROR!,http://lonestarpharmaceuticals.com/,,Website,,Rotas,5,-3,,
https://www.google.com.br/maps/place/Nova+Health+pharmacy/data=!4m7!3m6!1s0x864c19c1b74edbbb:0x37c6fd3ea791ff74!8m2!3d33.0088173!4d-96.6923549!16s%2Fg%2F11qn64pmb_!19sChIJu9tOt8EZTIYRdP-Rpz79xjc?authuser=0&hl=pt-BR&rclk=1,Nova Health pharmacy,,Farmácia,·,,·,1408 Summit Ave Suite#2,Fechado,· Abre seg. às 11:30,·,#ERROR!,https://www.novahealthpharmacy.com/,,Website,,Rotas,"4,9",-39,Compras na loja,
https://www.google.com.br/maps/place/ICS+-+Integrated+Commercialization+Solutions/data=!4m7!3m6!1s0x864c259c2be86e2f:0xa100cab7df1b899b!8m2!3d33.048413!4d-96.8719604!16s%2Fg%2F11h45mgfbm!19sChIJL27oK5wlTIYRm4kb37fKAKE?authuser=0&hl=pt-BR&rclk=1,ICS - Integrated Commercialization Solutions,Nenhuma avaliação,Empresa farmacêutica,·,,·,5025 Plano Pkwy,Fechado,· Abre seg. às 08:00,·,#ERROR!,https://www.icsconnect.com/,,Website,,Rotas,,,,
https://www.google.com.br/maps/place/Abbott/data=!4m7!3m6!1s0x864c23b55ef78c43:0x620bb1dcd878180f!8m2!3d33.0674698!4d-96.7980219!16s%2Fg%2F11nx3w419q!19sChIJQ4z3XrUjTIYRDxh42NyxC2I?authuser=0&hl=pt-BR&rclk=1,Abbott,,Escritório da empresa,·,,·,6901 Preston Rd,,,,#ERROR!,,,Rotas,,,4,-13,,
https://www.google.com.br/maps/place/Alliance+Pharmacy+Plano/data=!4m7!3m6!1s0x864c2300694ff2e7:0xfbdd0f15d3f4f6a5!8m2!3d33.0556163!4d-96.7728255!16s%2Fg%2F11lcfxzm3s!19sChIJ5_JPaQAjTIYRpfb00xUP3fs?authuser=0&hl=pt-BR&rclk=1,Alliance Pharmacy Plano,,Farmácia,·,,·,4152 W Spring Creek Pkwy suite 160,Fechado,· Abre seg. às 09:00,·,#ERROR!,https://www.alliancepharmacyplano.com/,,Website,,Rotas,"4,2",-13,Entrega,
https://www.google.com.br/maps/place/Chelsea+Pharmacy/data=!4m7!3m6!1s0x864c23467befab13:0x459f6bbb3424f24a!8m2!3d33.0417308!4d-96.7552959!16s%2Fg%2F11hp8s0btb!19sChIJE6vve0YjTIYRSvIkNLtrn0U?authuser=0&hl=pt-BR&rclk=1,Chelsea Pharmacy,,Farmácia,·,,·,3115 W Parker Rd Suite 395,Fechado,· Abre seg. às 09:00,·,#ERROR!,http://www.chelseapharmacyrx.com/,,Website,,Rotas,"4,6",-59,Compras na loja,
https://www.google.com.br/maps/place/MedScript+Pharmacy/data=!4m7!3m6!1s0x864c224c194e2b2b:0xb09c61c2770c0bb3!8m2!3d33.0137396!4d-96.7872731!16s%2Fg%2F11fx95xcx8!19sChIJKytOGUwiTIYRswsMd8JhnLA?authuser=0&hl=pt-BR&rclk=1,MedScript Pharmacy,,Farmácia,·,,·,1101 Ohio Dr Suite 115,Fechado,· Abre seg. às 09:00,·,#ERROR!,http://msprx.us/,,Website,,Rotas,"3,2",-73,Entrega,
https://www.google.com.br/maps/place/Abrams+Royal+Pharmacy+II/data=!4m7!3m6!1s0x864c23aac51664a7:0x9c471622d7e505a2!8m2!3d33.0287055!4d-96.792156!16s%2Fg%2F1tgx2f3v!19sChIJp2QWxaojTIYRogXl1yIWR5w?authuser=0&hl=pt-BR&rclk=1,Abrams Royal Pharmacy II,,Farmácia,·,,·,4909 W Park Blvd #177,Fechado,· Abre seg. às 09:00,·,#ERROR!,http://www.arp-rx.com/,,Website,,Rotas,"4,7",-39,Compras na loja,
https://www.google.com.br/maps/place/Orthogenix+CBD/data=!4m7!3m6!1s0x864c23ef23b656b7:0xad81dedbeb58112b!8m2!3d33.0581421!4d-96.795262!16s%2Fg%2F11qg084393!19sChIJt1a2I-8jTIYRKxFY69vega0?authuser=0&hl=pt-BR&rclk=1,Orthogenix CBD,Nenhuma avaliação,Empresa farmacêutica,·,,·,6200 Preston Rd Suite 300A,,,,#ERROR!,http://orthogenixcbd.com/,,Website,,Rotas,,,,
https://www.google.com.br/maps/place/Cubixx+Solutions/data=!4m7!3m6!1s0x864c3c9b2a5d9cbd:0x2eae3ed226d1d3a!8m2!3d33.0498788!4d-96.8723145!16s%2Fg%2F11fct771bg!19sChIJvZxdKps8TIYROh1tIu3j6gI?authuser=0&hl=pt-BR&rclk=1,Cubixx Solutions,Nenhuma avaliação,Empresa farmacêutica,·,,·,5025 Plano Pkwy,,,,#ERROR!,,,Rotas,,,,,,
https://www.google.com.br/maps/place/Pace+Analytical/data=!4m7!3m6!1s0x864c17452598354f:0x740c590180bdf5a3!8m2!3d33.091895!4d-96.676479!16s%2Fg%2F1hc3b3t48!19sChIJTzWYJUUXTIYRo_W9gAFZDHQ?authuser=0&hl=pt-BR&rclk=1,Pace Analytical,,Laboratório,·,,400 West Bethany Drive,Fechado,· Abre seg. às 08:00,·,,(219) 567-1737,https://www.google.com.br/aclk?sa=L&ai=DChsSEwjFjL3t66-UAxWHaEgAHbYaF8QYACICCAEQABoCY2U&co=1&ase=2&gclid=Cj0KCQjw2YDQBhD_ARIsAE1qeScg0aWYSgQnCfXReUOaTOGg-yQin17S6CaOCvzt43tIQhOJUqnlqvwaAhRJEALw_wcB&cid=CAASuwHkaO6pSub2X0bHFiYR9Zgihf4CgQxBFHw_ynJXQ7jdQUkSGbHNzW4W6PdhfpbK7s2ZcqLX7y5gA9vd0cpThPU0PbPBxC9he1BpRSr6GI1ZS4DZEUuiRkJ9zG0fCK88QRUGOR_BvO_sBHYfu9ZQQJcVtpZ2VnyYw6k1tB1vfVRms4vKXX_kVgvgnm5-2yl-kFnHabYbRLtxgFyh3hIY7IJhEWNAXdrEiXhnL5HHP6QNTDiqTdQzZp5oEr5h&cce=2&category=acrcp_v1_32&sig=AOD64_2MgviP5NEOzsuRXS4rHQyhopoVzQ&adurl&q&ctype=99&nis=6,,Website,,Rotas,"4,7",-10,,
https://www.google.com.br/maps/place/Pace+Analytical/data=!4m7!3m6!1s0x864c17452598354f:0x740c590180bdf5a3!8m2!3d33.091895!4d-96.676479!16s%2Fg%2F1hc3b3t48!19sChIJTzWYJUUXTIYRo_W9gAFZDHQ?authuser=0&hl=pt-BR&rclk=1,Pace Analytical,,Laboratório,·,,400 West Bethany Drive,Fechado,· Abre seg. às 08:00,·,,(219) 567-1737,https://www.google.com.br/aclk?sa=L&ai=DChsSEwjW9qHw66-UAxVtU0gAHRJSClQYACICCAEQABoCY2U&co=1&ase=2&gclid=Cj0KCQjw2YDQBhD_ARIsAE1qeSfycww6fg1FDFmi9EELlTg_RbCBS2Ci0zBHBObLytcq6PZmqG485m0aAhiIEALw_wcB&cid=CAASuwHkaLpUgojVHmWpqJuzA9OqDOxl87mukIof9uZv6byFd-15S048xfkpYnmHQiGg8PL1veBEkwPF_pyW4MsIhHp6ZGsx2wiAkyHYb2ZaqOld5hzCs_tOPfVKgXSgwe2WkilY8AFPvRVP5rbLypcj0WoSZlkgc-c4zr8mnokTROTK5YQUX57mjztt_VPaVzu2B0wzrqooE8OqVRC_NvVjktEuiFaUT8GVsuTLFCSZqkzVASc3JxJVZHcguFKZ&cce=2&category=acrcp_v1_32&sig=AOD64_1hXI_JzE83ItCppDkMAjJwthWDqw&adurl&q&ctype=99&nis=6,,Website,,Rotas,"4,7",-10,,
https://www.google.com.br/maps/place/Southern+Star+Pharmacy+-+Plano/data=!4m7!3m6!1s0x864c1f201759b7e3:0x3bb92948b5e023ac!8m2!3d33.0562816!4d-96.8322717!16s%2Fg%2F11cm49kg2h!19sChIJ47dZFyAfTIYRrCPgtUgpuTs?authuser=0&hl=pt-BR&rclk=1,Southern Star Pharmacy - Plano,,Farmácia,·,,·,6101 Windhaven Pkwy Ste 125,Fechado,· Abre seg. às 09:00,·,#ERROR!,https://southernstarrx.com/,,Website,,Rotas,"4,8",-186,Compras na loja,
https://www.google.com.br/maps/place/CSI+Pharmacy/data=!4m7!3m6!1s0x864c234876f2a935:0x780db69eb64b338a!8m2!3d33.0729131!4d-96.8103992!16s%2Fg%2F11x80dwnhf!19sChIJNanydkgjTIYRijNLtp62DXg?authuser=0&hl=pt-BR&rclk=1,CSI Pharmacy,,Farmácia,·,,·,5340 Legacy Dr ste 115,Fechado,· Abre seg. às 08:30,·,#ERROR!,https://csipharmacy.com/?utm_source=google&utm_medium=organic&utm_campaign=business_profile&utm_term=plano,,Website,,Rotas,5,-2,Entrega,
https://www.google.com.br/maps/place/ReNue+Frisco+Compounding+Pharmacy/data=!4m7!3m6!1s0x864c3b635b20a00f:0xdd793b8dbd388634!8m2!3d33.1040356!4d-96.8408283!16s%2Fg%2F11dymlb9_s!19sChIJD6AgW2M7TIYRNIY4vY07ed0?authuser=0&hl=pt-BR&rclk=1,ReNue Frisco Compounding Pharmacy,,Farmácia,·,,·,3010 Legacy Dr STE 110,Fechado,· Abre seg. às 09:00,·,#ERROR!,https://renuerx.com/?utm_source=gmb&utm_id=frisco,,Website,,Rotas,"4,9",-164,Compras na loja,
https://www.google.com.br/maps/place/Spring+Creek+Pharmacy/data=!4m7!3m6!1s0x864c19cfdeba6391:0x2589c4b4299dee67!8m2!3d33.0042754!4d-96.7629768!16s%2Fg%2F1pp2vmy1g!19sChIJkWO63s8ZTIYRZ-6dKbTEiSU?authuser=0&hl=pt-BR&rclk=1,Spring Creek Pharmacy,,Farmácia,·,,·,3737 Mapleshade Ln,Fechado,· Abre seg. às 09:00,·,#ERROR!,https://www.springcreekpharmacy.com/,,Website,,Rotas,"4,1",-104,Entrega,
https://www.google.com.br/maps/place/UnitedRx+Pharmacy/data=!4m7!3m6!1s0x864c232d48f4888b:0x2745a44445502148!8m2!3d33.0623412!4d-96.7980523!16s%2Fg%2F11s4bgq5dj!19sChIJi4j0SC0jTIYRSCFQRUSkRSc?authuser=0&hl=pt-BR&rclk=1,UnitedRx Pharmacy,,Farmácia,·,,·,6533 Preston Rd STE 300,Fechado,· Abre seg. às 09:00,·,#ERROR!,http://www.theunitedrx.com/,,Website,,Rotas,"4,6",-41,Entrega,
https://www.google.com.br/maps/place/Senderra+Specialty+Pharmacy/data=!4m7!3m6!1s0x864c1ee15fcff701:0x534d9ad6a4eb2295!8m2!3d33.0072914!4d-96.6622136!16s%2Fg%2F1jgl_x6lx!19sChIJAffPX-EeTIYRlSLrpNaaTVM?authuser=0&hl=pt-BR&rclk=1,Senderra Specialty Pharmacy,,Farmácia,·,,·,3712 E Plano Pkwy Suite 200,Fechado,· Abre seg. às 08:00,·,#ERROR!,https://www.senderrarx.com/,,Website,,Rotas,"1,7",-90,Entrega,
https://www.google.com.br/maps/place/Allen+Family+Drug/data=!4m7!3m6!1s0x864c1736e8c16e8f:0xca63b64069adfdd9!8m2!3d33.1070186!4d-96.6773028!16s%2Fg%2F1td7zh2z!19sChIJj27B6DYXTIYR2f2taUC2Y8o?authuser=0&hl=pt-BR&rclk=1,Allen Family Drug,,Farmácia,·,,·,317 N Central Expy,Fechado,· Abre seg. às 08:30,·,#ERROR!,https://allenfamilydrug.com/,,Website,,Rotas,"4,6",-81,Compras na loja,
https://www.google.com.br/maps/place/Sembio+Partners/data=!4m7!3m6!1s0x864c3c8e67a00193:0x7c998cdd3dd2054c!8m2!3d33.1082321!4d-96.820072!16s%2Fg%2F1ydxc8lxx!19sChIJkwGgZ448TIYRTAXSPd2MmXw?authuser=0&hl=pt-BR&rclk=1,Sembio Partners,Nenhuma avaliação,Empresa farmacêutica,·,,·,7460 Warren Pkwy suite 230,,,,#ERROR!,https://sembiogroup.com/,,Website,,Rotas,,,,
https://www.google.com.br/maps/place/Infinity+Pharmacy+Solutions/data=!4m7!3m6!1s0x864c1bfce11db54f:0x461667fde9bfc19d!8m2!3d33.001096!4d-96.6609392!16s%2Fg%2F1ptwtczt5!19sChIJT7Ud4fwbTIYRncG_6f1nFkY?authuser=0&hl=pt-BR&rclk=1,Infinity Pharmacy Solutions,,Farmácia,·,,·,3313 Essex Dr Suite 200,Fechado,· Abre seg. às 09:00,·,#ERROR!,http://www.infinitypharmacy.com/,,Website,,Rotas,3,-22,Entrega,
https://www.google.com.br/maps/place/Leeds+Pharmacy/data=!4m7!3m6!1s0x864c1b004ff2f7d3:0xde9431abae09cc3a!8m2!3d33.0113951!4d-96.619698!16s%2Fg%2F11whzvz864!19sChIJ0_fyTwAbTIYROswJrqsxlN4?authuser=0&hl=pt-BR&rclk=1,Leeds Pharmacy,Nenhuma avaliação,Empresa farmacêutica,·,,·,318 W Farm To Market 544 Suite B3,Fechado,· Abre seg. às 08:00,·,#ERROR!,,,Rotas,,,,,,
https://www.google.com.br/maps/place/Royal+Family+Pharmacy/data=!4m7!3m6!1s0x864c1934e34506b3:0x9985d189e70ac69f!8m2!3d33.003433!4d-96.665545!16s%2Fg%2F11wj2p_53b!19sChIJswZF4zQZTIYRn8YK54nRhZk?authuser=0&hl=pt-BR&rclk=1,Royal Family Pharmacy,,Farmácia,·,,·,525 Shiloh Rd Suite 1200,Fechado,· Abre seg. às 10:00,·,#ERROR!,http://royalfamilyrx.com/,,Website,,Rotas,"4,9",-37,Compras na loja,
https://www.google.com.br/maps/place/Paragon+Healthcare+Inc./data=!4m7!3m6!1s0x864c23cc5bb7e56f:0xf67ffe18d539296c!8m2!3d33.003927!4d-96.7516393!16s%2Fg%2F1tfhgtkk!19sChIJb-W3W8wjTIYRbCk51Rj-f_Y?authuser=0&hl=pt-BR&rclk=1,Paragon Healthcare Inc.,,Farmácia,·,,3033 W President George Bush Hwy,,,,,,https://paragonhealthcare.com/,,Website,,Rotas,"2,3",-35,Entrega,
https://www.google.com.br/maps/place/Frontline+Pharma+Technologies+LLC/data=!4m7!3m6!1s0x864c3bf77870b5ad:0x67ba26f883b53729!8m2!3d33.1309293!4d-96.8904384!16s%2Fg%2F11sy74k885!19sChIJrbVwePc7TIYRKTe1g_gmumc?authuser=0&hl=pt-BR&rclk=1,Frontline Pharma Technologies LLC,,Agência de empregos,·,,·,6300 FM 423 Apt 3105,Fechado,· Abre seg. às 09:00,·,#ERROR!,,,Rotas,,,5,-1,,
https://www.google.com.br/maps/place/Stellus+Rx/data=!4m7!3m6!1s0x864c3d9f0fc2d9cd:0x857bdbeb680d9766!8m2!3d33.090462!4d-96.80934!16s%2Fg%2F11kj9nd46b!19sChIJzdnCD589TIYRZpcNaOvbe4U?authuser=0&hl=pt-BR&rclk=1,Stellus Rx,,Farmácia,·,,·,8277 Belleview Dr,Fechado,· Abre seg. às 09:00,·,#ERROR!,http://www.stellusrx.com/,,Website,,Rotas,4,-27,Entrega,
https://www.google.com.br/maps/place/Texas+Health+Prescription+Shop+plano/data=!4m7!3m6!1s0x864c249e87085de3:0xa974e93790eb0b81!8m2!3d33.0438308!4d-96.8354568!16s%2Fg%2F11f50v572f!19sChIJ410Ih54kTIYRgQvrkDfpdKk?authuser=0&hl=pt-BR&rclk=1,Texas Health Prescription Shop plano,,Farmácia,·,,·,6130 W Parker Rd Suite#100,Fechado,· Abre seg. às 09:00,·,#ERROR!,https://www.texashealth.org/Locations/texas-health-plano,,Website,,Rotas,"4,5",-8,Entrega,
https://www.google.com.br/maps/place/CaringRX+Pharmacy/data=!4m7!3m6!1s0x864c23617b7fc7b3:0xf452d3cd26bc6ae5!8m2!3d33.04419!4d-96.8319551!16s%2Fg%2F11b66cgcc1!19sChIJs8d_e2EjTIYR5Wq8Js3TUvQ?authuser=0&hl=pt-BR&rclk=1,CaringRX Pharmacy,,Farmácia,·,,6020 W Parker Rd Ste 270,·,Fechado,· Abre seg. às 09:00,,#ERROR!,,,Rotas,,,"3,8",-46,Entrega,
"https://www.google.com.br/maps/place/Bracane+Company,+Inc./data=!4m7!3m6!1s0x864c19e728694a13:0xcff1bb989072a716!8m2!3d33.020174!4d-96.7183357!16s%2Fg%2F11n8v57b7z!19sChIJE0ppKOcZTIYRFqdykJi78c8?authuser=0&hl=pt-BR&rclk=1","Bracane Company, Inc.",,Pesquisa e desenvolvimento de produtos,·,,·,1201 W 15th St Suite 330,Fechado,· Abre seg. às 09:00,·,#ERROR!,https://www.bracaneco.com/,,Website,,Rotas,"2,3",-3,,
https://www.google.com.br/maps/place/AD+Pharmacy/data=!4m7!3m6!1s0x864c3d13d9d4112f:0x88f829347172355a!8m2!3d33.0937049!4d-96.795794!16s%2Fg%2F11vby8d5bh!19sChIJLxHU2RM9TIYRWjVycTQp-Ig?authuser=0&hl=pt-BR&rclk=1,AD Pharmacy,,Farmácia,·,,·,4690 McDermott Rd ste 177,Fechado,· Abre seg. às 08:00,·,#ERROR!,,,Rotas,,,"3,2",-26,Entrega,
https://www.google.com.br/maps/place/Daray+Trading/data=!4m7!3m6!1s0x864c193e3d9482e9:0x56bea57ccf2e1ecf!8m2!3d33.0113729!4d-96.6891457!16s%2Fg%2F11sdbfxtf3!19sChIJ6YKUPT4ZTIYRzx4uz3ylvlY?authuser=0&hl=pt-BR&rclk=1,Daray Trading,Nenhuma avaliação,Distribuidora de Produtos Farmacêuticos,·,,·,1607 Capital Ave,,,,,https://daraytrading.com/,,Website,,Rotas,,,,
https://www.google.com.br/maps/place/Yaso+Therapeutics+Inc./data=!4m7!3m6!1s0x637f13218af05c7b:0xb60fd26872b9fbfc!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11vyvtpsc1!19sChIJe1zwiiETf2MR_Pu5cmjSD7Y?authuser=0&hl=pt-BR&rclk=1,Yaso Therapeutics Inc.,Nenhuma avaliação,Empresa farmacêutica,,,,,Fechado,· Abre seg. à 00:00,,,https://yasotherapeutics.com/,,Website,,Rotas,,,,
https://www.google.com.br/maps/place/Southern+Star+Foods/data=!4m7!3m6!1s0x864c1959dedfcaf5:0xc2df266fb1fe4e7e!8m2!3d33.0020785!4d-96.6675532!16s%2Fg%2F1v_z99hq!19sChIJ9crf3lkZTIYRfk7-sW8m38I?authuser=0&hl=pt-BR&rclk=1,Southern Star Foods,"3,3",-53,Fabricante de alimentos,·,,·,408 Wyngate Blvd,Fechado,· Abre seg. às 08:00,·,#ERROR!,,Rotas,,,,,,
https://www.google.com.br/maps/place/Love+Bananas+Popsicles/data=!4m7!3m6!1s0x864c1f133cadee7f:0x770cbf42fceec360!8m2!3d33.0597764!4d-96.7314998!16s%2Fg%2F11pcsl_x91!19sChIJf-6tPBMfTIYRYMPu_EK_DHc?authuser=0&hl=pt-BR&rclk=1,Love Bananas Popsicles,5,-11,Fabricante de alimentos,·,,2011 Spring Creek Pkwy # 2000,,,,,,,Rotas,,,,,,
https://www.google.com.br/maps/place/K%26M+Foods+Inc./data=!4m7!3m6!1s0x864c190064b8674b:0x260b894e0fc8e329!8m2!3d33.0079145!4d-96.6978498!16s%2Fg%2F11xst9jv0s!19sChIJS2e4ZAAZTIYRKePID06JCyY?authuser=0&hl=pt-BR&rclk=1,K&M Foods Inc.,5,-1,Loja atacadista de alimentos,·,,1135 E Plano Pkwy #3,Fechado,· Abre seg. às 09:00,·,,#ERROR!,,Website,https://knmfood.com/,,Rotas,,,
https://www.google.com.br/maps/place/FGR+Food+Corporation/data=!4m7!3m6!1s0x864c3cb1b2435fc5:0xf4dbe673e13b307d!8m2!3d33.079654!4d-96.8225339!16s%2Fg%2F113f4qy4f!19sChIJxV9DsrE8TIYRfTA74XPm2_Q?authuser=0&hl=pt-BR&rclk=1,FGR Food Corporation,4,-1,Fornecedor de produtos alimentícios,·,,7300 Lone Star Dr,·,Fechado,· Abre seg. à 00:00,,#ERROR!,,Rotas,,,,,,
"https://www.google.com.br/maps/place/Texafoods,+Inc/data=!4m7!3m6!1s0x864c196eb294a1c3:0x4a4232f07e1453da!8m2!3d33.0079348!4d-96.6978295!16s%2Fg%2F11h71bc3s3!19sChIJw6GUsm4ZTIYR2lMUfvAyQko?authuser=0&hl=pt-BR&rclk=1","Texafoods, Inc","3,2",-5,Fornecedor de produtos alimentícios,·,,1135 E Plano Pkwy,·,Fechado,· Abre seg. às 08:30,,#ERROR!,,Rotas,,,,,,
"https://www.google.com.br/maps/place/Maui+Foods+International,+Inc./data=!4m7!3m6!1s0x864e98bfe40ccd9d:0x1d48c6b7feea4bb5!8m2!3d33.0102729!4d-96.6751251!16s%2Fg%2F1th49tbn!19sChIJnc0M5L-YToYRtUvq_rfGSB0?authuser=0&hl=pt-BR&rclk=1","Maui Foods International, Inc.","4,3",-18,Padaria atacadista,·,,2901 Summit Ave #400,Fechado,· Abre seg. às 08:00,·,,#ERROR!,,Website,http://mauifoods.net/,,Rotas,Não faz entrega,,
https://www.google.com.br/maps/place/Tastefully+Olive/data=!4m7!3m6!1s0x206def6d652a07c9:0xcb47b3a8d060683b!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11swgryk43!19sChIJyQcqZW3vbSARO2hg0KizR8s?authuser=0&hl=pt-BR&rclk=1,Tastefully Olive,5,-32,Fabricante de alimentos,,,·,Fechado,· Abre seg. às 09:00,,,#ERROR!,,Website,https://www.tastefullyolive.com/,,Rotas,Entrega,,
